id,name,min_diameter_m,max_diameter_m,absolute_magnitude_h,close_approach_datetime,relative_velocity_kmps,miss_distance_lunar,orbiting_body,first_observation_date,last_observation_date,orbit_id,orbit_determination_datetime,orbit_uncertainty,orbit_observations_used,orbital_period_days,orbit_class,min_orbit_intersection,is_potentially_hazardous,is_sentry_object,nasa_jpl_url
3836173,(2018 VT6),23.15,51.77,25.3,2021-07-05 00:59,10.64,77.69,Earth,2018-11-07,2018-11-20,6,2021-04-15 20:48:04,8,31,538.4049569705414,APO,.0649531,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3836173
2397471,397471 (2007 LV),637.61,1425.74,18.1,2021-07-05 01:05,7.89,167.17,Earth,2002-04-10,2020-01-31,57,2021-04-14 11:48:17,0,186,854.7453014102414,AMO,.405811,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2397471
54104073,(2021 AC),48.37,108.15,23.7,2021-07-05 04:34,13.4,49.55,Earth,2021-01-02,2021-01-20,15,2021-05-27 05:49:19,7,131,385.4263827053769,APO,.0232354,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54104073
2162463,162463 (2000 JH5),766.58,1714.12,17.7,2021-07-05 04:46,11.77,150.96,Earth,2000-04-16,2021-07-01,127,2021-07-03 06:41:12,0,710,447.8930123379928,APO,.110132,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2162463
54160715,(2021 MA),56.38,126.08,23.367,2021-07-05 04:57,10.1,37.81,Earth,2021-06-16,2021-07-02,10,2021-07-03 06:40:24,8,43,1324.010444416849,AMO,.0928215,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54160715
54076022,(2020 UO4),5.06,11.33,28.6,2021-07-05 07:45,3.8,52.33,Earth,2020-10-23,2020-11-18,11,2021-04-15 23:13:33,4,66,350.4004733250253,ATE,.00220757,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54076022
3763424,(2016 VG2),350.39,783.5,19.4,2021-07-05 08:07,29.15,134.63,Earth,1997-07-05,2019-07-01,19,2021-04-15 18:11:53,0,63,798.3563553719534,APO,.108987,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3763424
2484402,484402 (2007 XH16),308,688.72,19.68,2021-07-05 09:22,13.61,189.3,Earth,2007-12-08,2021-06-06,80,2021-06-26 06:22:02,0,449,472.3979638098807,APO,.0141557,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2484402
3725122,(2015 OR78),116.03,259.44,21.8,2021-07-05 10:19,2.98,150.05,Earth,2015-07-26,2021-06-30,16,2021-07-01 07:22:28,0,53,1108.754949872995,AMO,.233159,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3725122
3765610,(2016 XR1),38.42,85.91,24.2,2021-07-05 11:00,8.16,69.91,Earth,2016-12-04,2016-12-25,9,2021-04-15 18:18:30,7,60,455.5062992771088,APO,.0960867,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3765610
54144935,(2021 JF5),115.12,257.42,21.817,2021-07-05 13:09,9.29,80.69,Earth,2021-05-07,2021-06-19,13,2021-06-26 06:21:21,6,62,1548.405108664575,AMO,.160558,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54144935
3102771,(2002 AL31),33.46,74.82,24.5,2021-07-05 14:48,21.24,194.32,Earth,2002-01-14,2002-01-22,14,2021-04-14 21:17:09,7,58,466.1991071597955,APO,.0125892,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3102771
54148786,(2021 KM2),103.65,231.76,22.045,2021-07-05 15:01,6.61,114.54,Earth,2021-04-06,2021-06-20,5,2021-06-26 06:21:26,5,33,1583.456117166975,AMO,.257472,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54148786
3672963,(2014 KR84),231.5,517.65,20.3,2021-07-05 15:43,14.95,184.36,Earth,2014-05-27,2021-06-15,25,2021-06-16 06:19:51,0,70,423.3792229379471,APO,.219616,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3672963
2480885,480885 (2002 AC29),664.59,1486.07,18.01,2021-07-05 20:25,23.02,85.68,Earth,2001-12-24,2021-04-23,52,2021-07-02 05:57:34,0,175,768.4208297966474,APO,.0733601,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2480885
54050976,(2020 PX),25.38,56.76,25.1,2021-07-05 20:39,10.72,90.05,Earth,2020-08-10,2020-08-14,3,2021-04-15 22:46:07,7,21,385.1252729936614,APO,.0630276,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54050976
2265482,265482 (2005 EE),152.95,342.01,21.2,2021-07-05 21:35,22.27,165.09,Earth,2004-05-14,2021-06-12,61,2021-06-13 08:27:04,0,396,438.2050503983232,APO,.0183917,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2265482
54117561,(2021 CG6),286.12,639.79,19.84,2021-07-05 23:03,32.32,176.45,Earth,2021-02-07,2021-04-12,8,2021-04-15 23:25:19,5,36,1125.005261303603,APO,.337825,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54117561
3607683,(2012 PO28),105.82,236.61,22,2021-07-06 00:05,1.68,125.51,Earth,2009-09-16,2021-06-11,26,2021-06-13 08:25:49,0,79,1102.56085105224,AMO,.271806,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3607683
3788165,(2017 UL44),46.19,103.29,23.8,2021-07-06 00:23,19.5,182.24,Earth,2017-10-29,2017-11-02,4,2021-04-15 19:57:37,7,94,300.192477360031,ATE,.0315553,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3788165
3825228,(2018 LH5),105.82,236.61,22,2021-07-06 02:08,23.95,149.92,Earth,2018-06-12,2018-07-11,9,2021-04-15 20:30:19,5,53,265.234109449322,ATE,.122895,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3825228
54164556,(2021 NB),11.11,24.83,26.895,2021-07-06 03:24,9.29,3.09,Earth,2021-07-01,2021-07-02,2,2021-07-03 06:40:28,7,24,1370.148698851063,APO,.00130986,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54164556
54161067,(2021 MC),17.26,38.6,25.937,2021-07-06 06:18,7.15,2.95,Earth,2021-06-16,2021-06-30,5,2021-07-01 07:22:32,8,33,708.1390638602338,APO,.00638579,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54161067
3879295,(2019 UK2),7.32,16.37,27.8,2021-07-06 13:01,15.8,109.88,Earth,2019-10-21,2019-11-03,4,2021-04-15 22:00:08,8,15,699.4221792096619,APO,.00455936,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3879295
3837932,(2019 AY13),77.01,172.2,22.69,2021-07-06 13:35,14.98,174.68,Earth,2019-01-04,2021-04-04,10,2021-04-15 20:59:31,2,39,336.833200775798,ATE,.0364162,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3837932
54165397,(2021 NF),28.13,62.9,24.877,2021-07-06 14:23,10.38,8.33,Earth,2021-07-02,2021-07-03,1,2021-07-03 10:42:02,7,30,396.687331923459,APO,.0199937,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54165397
3117468,(2002 FT6),80.27,179.49,22.6,2021-07-07 00:45,23.03,131.44,Earth,2002-03-23,2019-06-25,25,2021-04-14 21:21:03,1,72,358.8703432544839,ATE,.0405473,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3117468
54147128,(2021 KD1),150.37,336.23,21.237,2021-07-07 06:45,10.15,86.1,Earth,2021-04-18,2021-06-30,8,2021-06-30 06:50:14,5,38,1767.4100023129,AMO,.206903,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54147128
